gene.ID,Cell.type,Gene.name,Gene.biotype,Fold.change,Sample.fold.change,q.value,correlation..bulk.mRNA.bulkized.nuclear.RNA.
ENSG00000004897,Microglia,CDC27,protein_coding,-0.162957733,-0.381323607,0.037511203,0.53937323
ENSG00000012779,Microglia,ALOX5,protein_coding,-0.184031798,-0.209606614,0.024136499,0.195420728
ENSG00000019485,Microglia,PRDM11,protein_coding,-0.592402978,-0.425856378,0.019812586,0.277782083
ENSG00000048740,Microglia,CELF2,protein_coding,0.344033467,0.24515146,0.023314142,0.507229222
ENSG00000049618,Microglia,ARID1B,protein_coding,0.249541839,0.494662806,0.019812586,0.185085805
ENSG00000049759,Microglia,NEDD4L,protein_coding,0.194197029,0.22077836,0.013659615,0.34136649
ENSG00000052126,Microglia,PLEKHA5,protein_coding,0.158228809,0.716645526,0.029104408,0.392775799
ENSG00000064999,Microglia,ANKS1A,protein_coding,0.154518267,0.168084368,0.032766052,0.661657843
ENSG00000066084,Microglia,DIP2B,protein_coding,0.184394167,0.156316906,0.048157111,0.348778471
ENSG00000071051,Microglia,NCK2,protein_coding,0.15063378,0.706171434,0.022880784,0.183315762
ENSG00000075568,Microglia,TMEM131,protein_coding,0.17987947,0.429226233,0.010925593,0.291293672
ENSG00000079950,Microglia,STX7,protein_coding,0.213893581,0.496781617,0.025709293,0.110280522
ENSG00000082074,Microglia,FYB,protein_coding,0.416332873,0.57432997,0.036542155,0.512643606
ENSG00000082701,Microglia,GSK3B,protein_coding,0.211020451,0.254016495,0.005758498,0.476514258
ENSG00000084070,Microglia,SMAP2,protein_coding,0.254471043,0.417033333,0.019812586,0.500311073
ENSG00000096968,Microglia,JAK2,protein_coding,0.226171175,0.141847058,0.023602103,0.391946097
ENSG00000099622,Microglia,CIRBP,protein_coding,-0.176113531,-0.329629348,0.009221717,0.247372204
ENSG00000105372,Microglia,RPS19,protein_coding,0.199072821,0.422543782,0.01768442,0.007540529
ENSG00000107242,Microglia,PIP5K1B,protein_coding,0.158116765,0.310634529,0.013662792,0.652198724
ENSG00000109458,Microglia,GAB1,protein_coding,0.208005845,0.558777066,0.029049039,0.016632767
ENSG00000112576,Microglia,CCND3,protein_coding,0.204750565,0.696296108,0.00815305,0.154206188
ENSG00000114331,Microglia,ACAP2,protein_coding,0.145108067,0.346965301,0.032430115,0.371297577
ENSG00000117569,Microglia,PTBP2,protein_coding,0.20856684,0.819463748,0.00815305,0.122356106
ENSG00000117616,Microglia,RSRP1,protein_coding,-0.202026161,-0.561893236,0.020260614,0.17213534
ENSG00000120071,Microglia,KANSL1,protein_coding,0.164605337,0.257560064,0.032715824,0.378830889
ENSG00000121933,Microglia,TMIGD3,protein_coding,0.140101562,0.241217412,0.020886451,N/A
ENSG00000125089,Microglia,SH3TC1,protein_coding,-0.192787053,-0.762989518,0.005079633,0.436435859
ENSG00000128573,Microglia,FOXP2,protein_coding,0.583444606,0.2972942,0.00815305,0.217266386
ENSG00000131143,Microglia,COX4I1,protein_coding,-0.141069156,-0.585239905,0.039818943,0.250943805
ENSG00000131374,Microglia,TBC1D5,protein_coding,0.426381404,0.355829809,0.009551629,0.100315349
ENSG00000132475,Microglia,H3F3B,protein_coding,-0.227726354,-1.140316319,0.00815305,0.253701625
ENSG00000134569,Microglia,LRP4,protein_coding,-0.560902045,-0.333061265,0.037511203,-0.064175856
ENSG00000135838,Microglia,NPL,protein_coding,-0.18664079,-0.392061329,0.030908389,0.26366083
ENSG00000139218,Microglia,SCAF11,protein_coding,0.162766672,0.164128868,0.038664957,0.089013341
